saq_entrepot_id,entrepot,code_saq,qty,annee,periode,semaine,date
1,CDM,14001338,66.4167,2021,11,2,2022-01-15
2,CDM,14064873,44.6667,2021,11,2,2022-01-15
3,CDM,14250123,29.6667,2021,11,2,2022-01-15
4,CDM,14545132,77.3333,2021,11,2,2022-01-15
5,CDM,14561781,150.833,2021,11,2,2022-01-15
6,CDM,14682882,178.083,2021,11,2,2022-01-15
7,CDM,14682891,85.4167,2021,11,2,2022-01-15
8,CDM,14758699,243.083,2021,11,2,2022-01-15
9,CDQ,14250123,56.0,2021,11,2,2022-01-15
10,CDQ,14545132,45.5,2021,11,2,2022-01-15
11,CDQ,14561781,34.0,2021,11,2,2022-01-15
12,CDQ,14682882,64.8333,2021,11,2,2022-01-15
13,CDQ,14682891,10.0,2021,11,2,2022-01-15
14,CDQ,14758699,102.583,2021,11,2,2022-01-15
15,CDM,14001338,42.9167,2022,4,2,2022-07-02
16,CDM,14064873,19.1667,2022,4,2,2022-07-02
17,CDM,14250123,11.6667,2022,4,2,2022-07-02
18,CDM,14545132,73.4167,2022,4,2,2022-07-02
19,CDM,14561781,112.667,2022,4,2,2022-07-02
20,CDM,14682882,88.0833,2022,4,2,2022-07-02
21,CDM,14682891,19.4167,2022,4,2,2022-07-02
22,CDM,14758699,181.333,2022,4,2,2022-07-02
23,CDM,14954868,93.4167,2022,4,2,2022-07-02
24,CDM,14954876,101.667,2022,4,2,2022-07-02
25,CDM,14960213,2754.0,2022,4,2,2022-07-02
26,CDQ,14001338,5.5,2022,4,2,2022-07-02
27,CDQ,14064873,9.3333,2022,4,2,2022-07-02
28,CDQ,14250123,38.3333,2022,4,2,2022-07-02
29,CDQ,14545132,78.9167,2022,4,2,2022-07-02
30,CDQ,14561781,40.8333,2022,4,2,2022-07-02
31,CDQ,14682882,80.8333,2022,4,2,2022-07-02
32,CDQ,14682891,1.8333,2022,4,2,2022-07-02
33,CDQ,14954868,34.0,2022,4,2,2022-07-02
34,CDQ,14954876,7.0,2022,4,2,2022-07-02
35,CDQ,14960213,498.0,2022,4,2,2022-07-02
68,CDM,14001338,32.3333,2022,6,4,2022-09-10
69,CDM,14064873,34.9167,2022,6,4,2022-09-10
70,CDM,14250123,12.4167,2022,6,4,2022-09-10
71,CDM,14545132,69.4167,2022,6,4,2022-09-10
72,CDM,14561781,90.25,2022,6,4,2022-09-10
73,CDM,14682882,253.75,2022,6,4,2022-09-10
74,CDM,14682891,79.25,2022,6,4,2022-09-10
75,CDM,14758699,180.417,2022,6,4,2022-09-10
76,CDM,14954868,148.0,2022,6,4,2022-09-10
77,CDM,14954876,31.1667,2022,6,4,2022-09-10
78,CDM,14960213,1433.67,2022,6,4,2022-09-10
79,CDM,14989770,4.8333,2022,6,4,2022-09-10
80,CDM,14989788,210.833,2022,6,4,2022-09-10
81,CDM,14989796,46.75,2022,6,4,2022-09-10
82,CDM,14989809,46.3333,2022,6,4,2022-09-10
83,CDM,14989825,153.333,2022,6,4,2022-09-10
84,CDM,14989833,54.0,2022,6,4,2022-09-10
85,CDQ,14001338,11.5833,2022,6,4,2022-09-10
86,CDQ,14064873,1.8333,2022,6,4,2022-09-10
87,CDQ,14250123,1.0,2022,6,4,2022-09-10
88,CDQ,14545132,18.25,2022,6,4,2022-09-10
89,CDQ,14561781,62.4167,2022,6,4,2022-09-10
90,CDQ,14682882,60.4167,2022,6,4,2022-09-10
91,CDQ,14682891,1.75,2022,6,4,2022-09-10
92,CDQ,14758699,102.917,2022,6,4,2022-09-10
93,CDQ,14954868,7.0833,2022,6,4,2022-09-10
94,CDQ,14960213,711.5,2022,6,4,2022-09-10
95,CDQ,14989770,33.0,2022,6,4,2022-09-10
96,CDQ,14989796,81.6667,2022,6,4,2022-09-10
97,CDQ,14989809,81.0,2022,6,4,2022-09-10
98,CDQ,14989833,64.0,2022,6,4,2022-09-10
99,CDM,14001338,26.0833,2022,7,2,2022-09-24
100,CDM,14064873,24.1667,2022,7,2,2022-09-24
101,CDM,14250123,8.25,2022,7,2,2022-09-24
102,CDM,14545132,61.0,2022,7,2,2022-09-24
103,CDM,14561781,77.9167,2022,7,2,2022-09-24
104,CDM,14682882,178.333,2022,7,2,2022-09-24
105,CDM,14682891,65.0833,2022,7,2,2022-09-24
106,CDM,14758699,139.917,2022,7,2,2022-09-24
107,CDM,14954868,61.5833,2022,7,2,2022-09-24
108,CDM,14954876,9.25,2022,7,2,2022-09-24
109,CDM,14960213,1249.83,2022,7,2,2022-09-24
110,CDM,14989770,185.5,2022,7,2,2022-09-24
111,CDM,14989788,136.333,2022,7,2,2022-09-24
112,CDM,14989796,45.75,2022,7,2,2022-09-24
113,CDM,14989809,41.1667,2022,7,2,2022-09-24
114,CDM,14989825,140.25,2022,7,2,2022-09-24
115,CDM,14989833,28.3333,2022,7,2,2022-09-24
116,CDQ,14001338,8.5833,2022,7,2,2022-09-24
117,CDQ,14064873,0.8333,2022,7,2,2022-09-24
118,CDQ,14250123,0.0833,2022,7,2,2022-09-24
119,CDQ,14545132,12.0,2022,7,2,2022-09-24
120,CDQ,14561781,54.25,2022,7,2,2022-09-24
121,CDQ,14682882,36.3333,2022,7,2,2022-09-24
122,CDQ,14682891,10.75,2022,7,2,2022-09-24
123,CDQ,14758699,54.4167,2022,7,2,2022-09-24
124,CDQ,14954868,69.5833,2022,7,2,2022-09-24
125,CDQ,14960213,674.167,2022,7,2,2022-09-24
126,CDQ,14989770,13.0,2022,7,2,2022-09-24
127,CDQ,14989788,25.0,2022,7,2,2022-09-24
128,CDQ,14989796,81.6667,2022,7,2,2022-09-24
129,CDQ,14989809,73.9167,2022,7,2,2022-09-24
130,CDQ,14989833,54.0,2022,7,2,2022-09-24
131,CDM,14001338,18.9167,2022,7,4,2022-10-08
132,CDM,14064873,12.3333,2022,7,4,2022-10-08
