saq_ventes_id,code_saq,no_fournisseur,no_succursale,type_client,no_da,annee,periode,semaine,bouteille,montant
89270,14001338,17400778,0,1,0,2021,7,2,10,392.53
92215,14250123,17400778,0,1,0,2021,7,2,2,78.5
101838,14682882,17400778,0,1,0,2021,7,2,1,43.2
103991,14758699,17400778,0,1,0,2021,7,2,1,39.43
152332,14001338,17400778,0,1,0,2021,6,1,1,39.25
155540,14250123,17400778,0,1,0,2021,6,1,3,117.76
162681,14561781,17400778,0,1,0,2021,6,1,4,176.79
165764,14682882,17400778,0,1,0,2021,6,1,8,345.56
165827,14682891,17400778,0,1,0,2021,6,1,2,86.39
167848,14758699,17400778,0,1,0,2021,6,1,4,157.71
216696,14001338,17400778,0,1,0,2021,5,4,2,78.5
219995,14250123,17400778,0,1,0,2021,5,4,1,39.25
225784,14545132,17400778,0,1,0,2021,5,4,1,39.43
230451,14682882,17400778,0,1,0,2021,5,4,8,345.56
230526,14682891,17400778,0,1,0,2021,5,4,1,43.2
312569,14001338,17400778,23002,2,0,2021,5,4,1,39.25
312570,14001338,17400778,23002,2,0,2021,5,4,1,39.25
312571,14001338,17400778,23026,2,0,2021,5,4,1,39.25
312572,14001338,17400778,23026,2,0,2021,5,4,1,39.25
312573,14001338,17400778,23057,2,0,2021,5,4,1,39.25
312574,14001338,17400778,23057,2,0,2021,5,4,1,39.25
312575,14001338,17400778,23061,2,0,2021,5,4,2,78.5
312576,14001338,17400778,23061,2,0,2021,5,4,2,78.5
312577,14001338,17400778,23081,2,0,2021,5,4,1,39.25
312578,14001338,17400778,23081,2,0,2021,5,4,1,39.25
312581,14001338,17400778,23082,2,0,2021,5,4,1,39.25
312582,14001338,17400778,23082,2,0,2021,5,4,1,39.25
312583,14001338,17400778,23101,2,0,2021,5,4,1,39.25
312584,14001338,17400778,23101,2,0,2021,5,4,1,39.25
312585,14001338,17400778,23144,1,0,2021,5,4,6,235.52
312586,14001338,17400778,23144,1,0,2021,5,4,6,235.52
312587,14001338,17400778,23148,1,0,2021,5,4,1,39.25
312588,14001338,17400778,23148,1,0,2021,5,4,1,39.25
312589,14001338,17400778,23152,2,0,2021,5,4,4,157.0
312590,14001338,17400778,23152,2,0,2021,5,4,4,157.0
312591,14001338,17400778,23176,2,0,2021,5,4,1,39.25
312592,14001338,17400778,23176,2,0,2021,5,4,1,39.25
312593,14001338,17400778,23192,2,0,2021,5,4,1,39.25
312594,14001338,17400778,23192,2,0,2021,5,4,1,39.25
312595,14001338,17400778,23203,20,0,2021,5,4,12,461.83
312596,14001338,17400778,23203,20,0,2021,5,4,12,461.83
312597,14001338,17400778,23207,2,0,2021,5,4,1,39.25
312598,14001338,17400778,23207,2,0,2021,5,4,1,39.25
312599,14001338,17400778,23209,2,0,2021,5,4,1,39.25
312600,14001338,17400778,23209,2,0,2021,5,4,1,39.25
312601,14001338,17400778,23218,2,0,2021,5,4,1,39.25
312602,14001338,17400778,23218,2,0,2021,5,4,1,39.25
312603,14001338,17400778,23309,2,0,2021,5,4,1,39.25
312604,14001338,17400778,23309,2,0,2021,5,4,1,39.25
312605,14001338,17400778,23312,2,0,2021,5,4,1,39.25
312606,14001338,17400778,23312,2,0,2021,5,4,1,39.25
312607,14001338,17400778,23371,2,0,2021,5,4,3,117.75
312608,14001338,17400778,23371,2,0,2021,5,4,3,117.75
312609,14001338,17400778,33505,2,0,2021,5,4,2,78.5
312610,14001338,17400778,33505,2,0,2021,5,4,2,78.5
312611,14001338,17400778,33512,2,0,2021,5,4,1,39.25
312612,14001338,17400778,33512,2,0,2021,5,4,1,39.25
312613,14001338,17400778,33546,2,0,2021,5,4,1,39.25
312614,14001338,17400778,33546,2,0,2021,5,4,1,39.25
312615,14001338,17400778,33548,2,0,2021,5,4,-1,-39.25
312616,14001338,17400778,33548,2,0,2021,5,4,-1,-39.25
312617,14001338,17400778,33564,2,0,2021,5,4,1,39.25
312618,14001338,17400778,33564,2,0,2021,5,4,1,39.25
312619,14001338,17400778,33566,2,0,2021,5,4,1,39.25
312620,14001338,17400778,33566,2,0,2021,5,4,1,39.25
312621,14001338,17400778,33569,2,0,2021,5,4,1,39.25
312622,14001338,17400778,33569,2,0,2021,5,4,1,39.25
312623,14001338,17400778,33589,2,0,2021,5,4,2,78.5
312624,14001338,17400778,33589,2,0,2021,5,4,2,78.5
312625,14001338,17400778,33604,2,0,2021,5,4,1,39.25
312626,14001338,17400778,33604,2,0,2021,5,4,1,39.25
312627,14001338,17400778,33854,2,0,2021,5,4,2,78.5
312628,14001338,17400778,33854,2,0,2021,5,4,2,78.5
312629,14001338,17400778,CDM,1,0,2021,5,4,2,78.5
312630,14001338,17400778,CDM,1,0,2021,5,4,2,78.5
313357,14064873,17400778,23042,2,0,2021,5,4,1,41.0
313358,14064873,17400778,23042,2,0,2021,5,4,1,41.0
313359,14064873,17400778,23056,2,0,2021,5,4,1,41.0
313360,14064873,17400778,23056,2,0,2021,5,4,1,41.0
313363,14064873,17400778,23082,2,0,2021,5,4,7,287.0
313364,14064873,17400778,23082,2,0,2021,5,4,7,287.0
313365,14064873,17400778,23095,2,0,2021,5,4,5,205.0
313366,14064873,17400778,23095,2,0,2021,5,4,5,205.0
313367,14064873,17400778,23140,2,0,2021,5,4,2,82.0
313368,14064873,17400778,23140,2,0,2021,5,4,2,82.0
313369,14064873,17400778,23141,2,0,2021,5,4,1,41.0
313370,14064873,17400778,23141,2,0,2021,5,4,1,41.0
313373,14064873,17400778,23144,2,0,2021,5,4,1,41.0
313374,14064873,17400778,23144,2,0,2021,5,4,1,41.0
313375,14064873,17400778,23148,2,0,2021,5,4,3,123.0
313376,14064873,17400778,23148,2,0,2021,5,4,3,123.0
313377,14064873,17400778,23162,2,0,2021,5,4,3,123.0
313378,14064873,17400778,23162,2,0,2021,5,4,3,123.0
313379,14064873,17400778,23171,2,0,2021,5,4,-1,-41.0
313380,14064873,17400778,23171,2,0,2021,5,4,-1,-41.0
313381,14064873,17400778,23176,2,0,2021,5,4,1,41.0
313382,14064873,17400778,23176,2,0,2021,5,4,1,41.0
313383,14064873,17400778,23194,99,0,2021,5,4,1,41.0
313384,14064873,17400778,23194,99,0,2021,5,4,1,41.0
313385,14064873,17400778,23199,2,0,2021,5,4,4,164.0
313386,14064873,17400778,23199,2,0,2021,5,4,4,164.0
313387,14064873,17400778,23221,2,0,2021,5,4,11,451.0
313388,14064873,17400778,23221,2,0,2021,5,4,11,451.0
313389,14064873,17400778,23246,2,0,2021,5,4,1,41.0
313390,14064873,17400778,23246,2,0,2021,5,4,1,41.0
313391,14064873,17400778,23335,2,0,2021,5,4,1,41.0
313392,14064873,17400778,23335,2,0,2021,5,4,1,41.0
313393,14064873,17400778,23366,2,0,2021,5,4,3,123.0
313394,14064873,17400778,23366,2,0,2021,5,4,3,123.0
313395,14064873,17400778,33505,2,0,2021,5,4,1,41.0
313396,14064873,17400778,33505,2,0,2021,5,4,1,41.0
313397,14064873,17400778,33512,2,0,2021,5,4,1,41.0
313398,14064873,17400778,33512,2,0,2021,5,4,1,41.0
313399,14064873,17400778,33548,2,0,2021,5,4,2,82.0
313400,14064873,17400778,33548,2,0,2021,5,4,2,82.0
313401,14064873,17400778,33564,2,0,2021,5,4,1,41.0
313402,14064873,17400778,33564,2,0,2021,5,4,1,41.0
313403,14064873,17400778,33611,2,0,2021,5,4,1,41.0
313404,14064873,17400778,33611,2,0,2021,5,4,1,41.0
319153,14250123,17400778,23002,2,0,2021,5,4,1,39.25
319154,14250123,17400778,23002,2,0,2021,5,4,1,39.25
319155,14250123,17400778,23026,2,0,2021,5,4,2,78.5
319156,14250123,17400778,23026,2,0,2021,5,4,2,78.5
319157,14250123,17400778,23042,2,0,2021,5,4,1,39.25
319158,14250123,17400778,23042,2,0,2021,5,4,1,39.25
319159,14250123,17400778,23062,2,0,2021,5,4,2,78.5
319160,14250123,17400778,23062,2,0,2021,5,4,2,78.5
319161,14250123,17400778,23082,2,0,2021,5,4,7,274.75
319162,14250123,17400778,23082,2,0,2021,5,4,7,274.75
319163,14250123,17400778,23095,2,0,2021,5,4,2,78.5
319164,14250123,17400778,23095,2,0,2021,5,4,2,78.5
319165,14250123,17400778,23113,2,0,2021,5,4,1,39.25
319166,14250123,17400778,23113,2,0,2021,5,4,1,39.25
319167,14250123,17400778,23125,2,0,2021,5,4,2,78.5
319168,14250123,17400778,23125,2,0,2021,5,4,2,78.5
319169,14250123,17400778,23132,2,0,2021,5,4,1,39.25
319170,14250123,17400778,23132,2,0,2021,5,4,1,39.25
319171,14250123,17400778,23141,2,0,2021,5,4,1,39.25
319172,14250123,17400778,23141,2,0,2021,5,4,1,39.25
319175,14250123,17400778,23144,2,0,2021,5,4,2,78.5
319176,14250123,17400778,23144,2,0,2021,5,4,2,78.5
319177,14250123,17400778,23148,2,0,2021,5,4,3,117.75
319178,14250123,17400778,23148,2,0,2021,5,4,3,117.75
319179,14250123,17400778,23162,2,0,2021,5,4,1,39.25
319180,14250123,17400778,23162,2,0,2021,5,4,1,39.25
319181,14250123,17400778,23187,2,0,2021,5,4,2,78.5
319182,14250123,17400778,23187,2,0,2021,5,4,2,78.5
319183,14250123,17400778,23188,2,0,2021,5,4,1,39.25
319184,14250123,17400778,23188,2,0,2021,5,4,1,39.25
319185,14250123,17400778,23194,2,0,2021,5,4,4,157.0
319186,14250123,17400778,23194,2,0,2021,5,4,4,157.0
319187,14250123,17400778,23197,2,0,2021,5,4,1,39.25
319188,14250123,17400778,23197,2,0,2021,5,4,1,39.25
319189,14250123,17400778,23199,2,0,2021,5,4,2,78.5
319190,14250123,17400778,23199,2,0,2021,5,4,2,78.5
319191,14250123,17400778,23202,2,0,2021,5,4,1,39.25
319192,14250123,17400778,23202,2,0,2021,5,4,1,39.25
319193,14250123,17400778,23205,2,0,2021,5,4,1,39.25
319194,14250123,17400778,23205,2,0,2021,5,4,1,39.25
319195,14250123,17400778,23214,2,0,2021,5,4,1,39.25
319196,14250123,17400778,23214,2,0,2021,5,4,1,39.25
319197,14250123,17400778,23215,2,0,2021,5,4,2,78.5
319198,14250123,17400778,23215,2,0,2021,5,4,2,78.5
319199,14250123,17400778,23218,2,0,2021,5,4,1,39.25
319200,14250123,17400778,23218,2,0,2021,5,4,1,39.25
319201,14250123,17400778,23221,2,0,2021,5,4,1,39.25
319202,14250123,17400778,23221,2,0,2021,5,4,1,39.25
319203,14250123,17400778,23314,2,0,2021,5,4,1,39.25
319204,14250123,17400778,23314,2,0,2021,5,4,1,39.25
319205,14250123,17400778,23332,2,0,2021,5,4,2,78.5
319206,14250123,17400778,23332,2,0,2021,5,4,2,78.5
319207,14250123,17400778,23333,2,0,2021,5,4,1,39.25
319208,14250123,17400778,23333,2,0,2021,5,4,1,39.25
319209,14250123,17400778,23365,2,0,2021,5,4,1,39.25
319210,14250123,17400778,23365,2,0,2021,5,4,1,39.25
319211,14250123,17400778,23379,2,0,2021,5,4,1,39.25
319212,14250123,17400778,23379,2,0,2021,5,4,1,39.25
319213,14250123,17400778,33511,2,0,2021,5,4,1,39.25
319214,14250123,17400778,33511,2,0,2021,5,4,1,39.25
319215,14250123,17400778,33521,2,0,2021,5,4,1,39.25
319216,14250123,17400778,33521,2,0,2021,5,4,1,39.25
319217,14250123,17400778,33526,2,0,2021,5,4,1,39.25
319218,14250123,17400778,33526,2,0,2021,5,4,1,39.25
319219,14250123,17400778,33536,2,0,2021,5,4,1,39.25
319220,14250123,17400778,33536,2,0,2021,5,4,1,39.25
319221,14250123,17400778,33546,2,0,2021,5,4,5,196.25
319222,14250123,17400778,33546,2,0,2021,5,4,5,196.25
319223,14250123,17400778,33548,2,0,2021,5,4,1,39.25
319224,14250123,17400778,33548,2,0,2021,5,4,1,39.25
319225,14250123,17400778,33615,2,0,2021,5,4,1,39.25
319226,14250123,17400778,33615,2,0,2021,5,4,1,39.25
319227,14250123,17400778,CDM,1,0,2021,5,4,1,39.25
319228,14250123,17400778,CDM,1,0,2021,5,4,1,39.25
330589,14545132,17400778,23002,2,0,2021,5,4,5,197.5
330590,14545132,17400778,23002,2,0,2021,5,4,5,197.5
330591,14545132,17400778,23003,2,0,2021,5,4,1,39.5
330592,14545132,17400778,23003,2,0,2021,5,4,1,39.5
330593,14545132,17400778,23016,2,0,2021,5,4,4,158.0
330594,14545132,17400778,23016,2,0,2021,5,4,4,158.0
330595,14545132,17400778,23030,2,0,2021,5,4,3,118.5
330596,14545132,17400778,23030,2,0,2021,5,4,3,118.5
330597,14545132,17400778,23037,2,0,2021,5,4,2,79.0
330598,14545132,17400778,23037,2,0,2021,5,4,2,79.0
330599,14545132,17400778,23048,2,0,2021,5,4,4,158.0
330600,14545132,17400778,23048,2,0,2021,5,4,4,158.0
330601,14545132,17400778,23052,2,0,2021,5,4,4,158.0
330602,14545132,17400778,23052,2,0,2021,5,4,4,158.0
330603,14545132,17400778,23053,2,0,2021,5,4,1,39.5
330604,14545132,17400778,23053,2,0,2021,5,4,1,39.5
330605,14545132,17400778,23054,2,0,2021,5,4,2,79.0
330606,14545132,17400778,23054,2,0,2021,5,4,2,79.0
330607,14545132,17400778,23062,2,0,2021,5,4,4,158.0
330608,14545132,17400778,23062,2,0,2021,5,4,4,158.0
330609,14545132,17400778,23066,2,0,2021,5,4,3,118.5
330610,14545132,17400778,23066,2,0,2021,5,4,3,118.5
330611,14545132,17400778,23068,2,0,2021,5,4,2,79.0
