"ENTREPÔT";"CODE SAQ (CIP)";"QTÉ INVENTAIRE(caisse)";"ANNÉE";"PÉRIODE";"SEMAINE";"DATE DU JOUR"
CSM;"14064873";.5;2025;11;3;"2026/01/24"
CSM;"14545132";1.3333;2025;11;3;"2026/01/24"
CSM;"14561781";.75;2025;11;3;"2026/01/24"
CSM;"14682882";7;2025;11;3;"2026/01/24"
CSM;"14954892";11.9167;2025;11;3;"2026/01/24"
CSM;"14989770";.6667;2025;11;3;"2026/01/24"
CSM;"14989788";.1667;2025;11;3;"2026/01/24"
CSM;"14989809";.0833;2025;11;3;"2026/01/24"
CSM;"14989825";.0833;2025;11;3;"2026/01/24"
CSM;"14989833";.6667;2025;11;3;"2026/01/24"
CSM;"15095284";.5;2025;11;3;"2026/01/24"
CSM;"15168156";2.5;2025;11;3;"2026/01/24"
CSM;"15298014";4;2025;11;3;"2026/01/24"
CSM;"15303872";.3333;2025;11;3;"2026/01/24"
CSM;"15303910";.0833;2025;11;3;"2026/01/24"
CSM;"15311581";.5833;2025;11;3;"2026/01/24"
CSM;"15474217";.5;2025;11;3;"2026/01/24"
CSM;"15489099";.0833;2025;11;3;"2026/01/24"
CSM;"15546410";.25;2025;11;3;"2026/01/24"
