"ENTREPÔT";"CODE SAQ (CIP)";"QTÉ INVENTAIRE(caisse)";"ANNÉE";"PÉRIODE";"SEMAINE";"DATE DU JOUR"
CDM;"14064873";61.5;2025;11;3;"2026/01/24"
CDM;"14545132";97.4167;2025;11;3;"2026/01/24"
CDM;"14561781";11.8333;2025;11;3;"2026/01/24"
CDM;"14682882";119;2025;11;3;"2026/01/24"
CDM;"14758699";157.1667;2025;11;3;"2026/01/24"
CDM;"14954868";87;2025;11;3;"2026/01/24"
CDM;"14954892";207.9167;2025;11;3;"2026/01/24"
CDM;"14989770";31.6667;2025;11;3;"2026/01/24"
CDM;"14989788";25.25;2025;11;3;"2026/01/24"
CDM;"14989809";33.1667;2025;11;3;"2026/01/24"
CDM;"14989825";37.1667;2025;11;3;"2026/01/24"
CDM;"14989833";79.6667;2025;11;3;"2026/01/24"
CDM;"15095284";142.5;2025;11;3;"2026/01/24"
CDM;"15168156";347.5;2025;11;3;"2026/01/24"
CDM;"15298014";216.1667;2025;11;3;"2026/01/24"
CDM;"15303872";136.4167;2025;11;3;"2026/01/24"
CDM;"15303910";67.1667;2025;11;3;"2026/01/24"
CDM;"15311581";150.5833;2025;11;3;"2026/01/24"
CDM;"15474217";12.3333;2025;11;3;"2026/01/24"
CDM;"15489099";136.0833;2025;11;3;"2026/01/24"
CDM;"15521562";25.3333;2025;11;3;"2026/01/24"
CDM;"15546410";157.25;2025;11;3;"2026/01/24"
CDQ;"14064873";59.4167;2025;11;3;"2026/01/24"
CDQ;"14545132";54.3333;2025;11;3;"2026/01/24"
CDQ;"14561781";16.5833;2025;11;3;"2026/01/24"
CDQ;"14682882";84.25;2025;11;3;"2026/01/24"
CDQ;"14758699";103.9167;2025;11;3;"2026/01/24"
CDQ;"14954868";60.75;2025;11;3;"2026/01/24"
CDQ;"14954892";60.1667;2025;11;3;"2026/01/24"
CDQ;"14989770";63;2025;11;3;"2026/01/24"
CDQ;"14989788";25.0833;2025;11;3;"2026/01/24"
CDQ;"14989809";19.9167;2025;11;3;"2026/01/24"
CDQ;"14989825";25;2025;11;3;"2026/01/24"
CDQ;"14989833";65.0833;2025;11;3;"2026/01/24"
CDQ;"15095284";101.5833;2025;11;3;"2026/01/24"
CDQ;"15168156";187;2025;11;3;"2026/01/24"
CDQ;"15298014";132;2025;11;3;"2026/01/24"
CDQ;"15303872";27.5;2025;11;3;"2026/01/24"
CDQ;"15303910";30.4167;2025;11;3;"2026/01/24"
CDQ;"15311581";162.1667;2025;11;3;"2026/01/24"
CDQ;"15384553";8;2025;11;3;"2026/01/24"
CDQ;"15489099";27.75;2025;11;3;"2026/01/24"
CDQ;"15546410";40;2025;11;3;"2026/01/24"
