"CODE SAQ (CIP)";"NO COMMANDE";"DATE COMMANDE";"QTÉ COMMANDÉE";"UNITÉ DE COMMANDE";"DATE PRÉVUE LIVRAISON";"PRIX ACHAT ORIGINE";"CODE MONNAIE";"ANNÉE";"PÉRIODE";"SEMAINE"
"14064873";"OP-641831";"2026/01/19";112;"CASE_12";"2026/02/06";119.13;"CAD";2025;11;3
"14561781";"OP-638227";"2025/12/22";60;"CASE_12";"2026/01/16";143.68;"CAD";2025;10;3
"14682882";"OP-641830";"2026/01/19";420;"CASE_12";"2026/02/06";120.37;"CAD";2025;11;3
"14758699";"OP-641824";"2026/01/19";120;"CASE_12";"2026/02/13";101.4;"CAD";2025;11;3
"14954868";"OP-641823";"2026/01/19";60;"CASE_12";"2026/02/20";144;"CAD";2025;11;3
"14954892";"OP-641832";"2026/01/19";504;"CASE_12";"2026/02/06";120;"CAD";2025;11;3
"14989788";"OP-638233";"2025/12/22";60;"CASE_12";"2026/01/16";138;"CAD";2025;10;3
"14989809";"OP-638232";"2025/12/22";60;"CASE_12";"2026/01/16";124;"CAD";2025;10;3
"14989809";"OP-641828";"2026/01/19";60;"CASE_12";"2026/02/13";116.7;"CAD";2025;11;3
"14989825";"OP-638238";"2025/12/22";120;"CASE_12";"2026/01/16";84;"CAD";2025;10;3
"15168156";"OP-641826";"2026/01/19";182;"CASE_24";"2026/02/13";38.5;"CAD";2025;11;3
"15298014";"OP-641825";"2026/01/19";364;"CASE_24";"2026/02/13";32;"CAD";2025;11;3
"15303910";"OP-638229";"2025/12/22";60;"CASE_12";"2026/01/16";139.2;"CAD";2025;10;3
"15384553";"OP-602896";"2025/05/22";425;"CASE_03";"2025/11/12";90.52;"CAD";2025;02;4
"15489099";"OP-641829";"2026/01/19";112;"CASE_12";"2026/02/13";64;"CAD";2025;11;3
"15521562";"OP-642047";"2026/01/21";300;"CASE_12";"2026/02/06";112;"CAD";2025;11;3
"15546348";"OP-627962";"2025/10/23";50;"CASE_03";"2025/11/14";21.98;"CAD";2025;08;2
