"SAQ CODE (IPC)/CODE SAQ (CIP)";"UPC";"DESCRIPTION";"SALES UNIT/UNITÉ DE VENTE";"QTY OF BOTTLES/QTÉ BOUTEILLE";"YEAR/ANNÉE";"PERIOD/PÉRIODE";"WEEK/SEMAINE"
"560821";00636662057320;"Deakin Estate Shiraz";"750";1784;2025;11;3;
"12382501";08007890009153;"Cavit Collection Pinot Grigio";"750";3523;2025;11;3;
"15148075";00082000802457;"Smirnoff Ice Creamsicle Blast (6 x 355 ml)";"355";4059;2025;11;3;
"13284401";07804320753454;"Cono Sur Bicicleta Pinot Noir Reserva";"750";803;2025;11;3;
"15082740";03770012860547;"Aubert & Mathieu Hautes Pistes Chardonnay";"750";765;2025;11;3;
"610204";08007880547009;"Pasqua, Lapaccio Salento";"750";1404;2025;11;3;
"14480578";00628176471020;"Rosemont Whisky de Montréal";"750";242;2025;11;3;
"12997709";03335200007052;"Caves Rauzan Baron du Pin Bordeaux";"750";11678;2025;11;3;
"14727243";08410644130148;"Els Vinyerons Lluerna Penedès";"750";428;2025;11;3;
"15203951";00628774171018;"Amour Liquide Margarita";"100";1277;2025;11;3;
"15455585";00851006001450;"3 Lacs Gin Limonade Pêche Passion 4 x 355ml";"355";2617;2025;11;3;
"448258";00774336482587;"Jouvenceau Cuvée Héritage rouge";"4000";1743;2025;11;3;
"11254188";68410537983372;"El Coto Rioja Crianza";"750";2331;2025;11;3;
"10544693";08002062013303;"Masi Modello Trevenezie";"1500";316;2025;11;3;
"13593335";09120008894003;"Crazy Creatures";"750";6208;2025;11;3;
"15472713";08410113560636;"Torres Natureo Chardonnay";"750";329;2025;11;3;
"2691";00622153625048;"Tanqueray";"750";1311;2025;11;3;
"13821545";08002235216050;"Ca' Bolani Pinot Grigio Friuli Aquileia";"750";1006;2025;11;3;
"15159946";00080480988494;"Bombay Citron Pressé";"750";320;2025;11;3;
"15416560";00816253012277;"Segura Viudas Brut Organic";"750";3465;2025;11;3;
"2527";00878448002616;"Mouton Cadet Bordeaux";"750";2061;2025;11;3;
"14509553";09120012746206;"Meinklang Kontakt";"750";834;2025;11;3;
"15136728";03500610154188;"Nozeco Mimosa 0,5%";"750";141;2025;11;3;
"11529591";00056049028918;"Cliff 79 Chardonnay South Eastern Australia";"750";3697;2025;11;3;
"407544";00878448002647;"Philippe de Rothschild Merlot Pays d'Oc";"750";923;2025;11;3;
"10529910";06001108001085;"Two Oceans Shiraz Western Cape";"750";712;2025;11;3;
"13151449";03263280125444;"Grand Sud Chardonnay";"1000";7136;2025;11;3;
"11067585";03496650000113;"Château Coupe Roses Les Plots Minervois";"500";43;2025;11;3;
"10913410";05014396300915;"El Dorado 5 Ans";"750";184;2025;11;3;
"14730549";03760059491118;"André Colonge et Fils Fleurie";"750";81;2025;11;3;
"308056";00633438103816;"Mumm Grand Cordon  Brut";"750";241;2025;11;3;
"121749";05013626111284;"Taylor Fladgate Tawny 10 Ans";"750";323;2025;11;3;
"11401133";00208352290050;"Absolut";"1140";3772;2025;11;3;
"15299480";08720828384176;"Spirited Union Rhum Ananas & Gingembre  4X250ml";"250";122;2025;11;3;
"13288832";00631470000124;"La Vieille Ferme";"750";1296;2025;11;3;
"14216654";03770005597382;"Domaine Gueguen Chablis";"750";839;2025;11;3;
"11459765";05010103800440;"J. & B. Rare Blended Scotch";"1140";1216;2025;11;3;
"15296756";08410261151847;"Don Simon Sangria";"1000";416;2025;11;3;
"10706058";03481630000047;"Château Montlisse Saint-Emilion";"750";125;2025;11;3;
"710731";06008922000218;"Le Bonheur Cabernet-Sauvignon Stellenbosch";"750";449;2025;11;3;
"11293953";03473120008152;"Ropiteau Bourgogne Chardonnay";"750";1059;2025;11;3;
"10439404";08002062001652;"Masi Masianco Delle Venezie";"750";813;2025;11;3;
"145367";00012354087651;"Lindemans Bin 50 Shiraz";"750";1095;2025;11;3;
"12673675";05000299609354;"Glenlivet Founder's Reserve Single malt";"750";599;2025;11;3;
"13532698";00057496008676;"L'Auberge Cuvée Festive";"4000";3288;2025;11;3;
"15210473";00057496000519;"Sandstone Creek Cabernet Merlot";"750";330;2025;11;3;
"15162230";00062067412974;"Palm Bay Sunshine Twist (6 x 355 ml)";"355";588;2025;11;3;
