"ENTREPÔT";"CODE SAQ (CIP)";"QTÉ INVENTAIRE(caisse)";"ANNÉE";"PÉRIODE";"SEMAINE";"DATE DU JOUR"
CSM;"14064873";.5833;2025;10;1;"2025/12/13"
CSM;"14545132";.1667;2025;10;1;"2025/12/13"
CSM;"14561781";.9167;2025;10;1;"2025/12/13"
CSM;"14682882";7.0833;2025;10;1;"2025/12/13"
CSM;"14758699";1.5;2025;10;1;"2025/12/13"
CSM;"14954868";.9167;2025;10;1;"2025/12/13"
CSM;"14954892";14;2025;10;1;"2025/12/13"
CSM;"14989770";.5833;2025;10;1;"2025/12/13"
CSM;"14989788";1.5;2025;10;1;"2025/12/13"
CSM;"14989809";1.0833;2025;10;1;"2025/12/13"
CSM;"14989825";.5833;2025;10;1;"2025/12/13"
CSM;"14989833";.3333;2025;10;1;"2025/12/13"
CSM;"15095284";.5;2025;10;1;"2025/12/13"
CSM;"15168156";6;2025;10;1;"2025/12/13"
CSM;"15298014";.5;2025;10;1;"2025/12/13"
CSM;"15303872";.4167;2025;10;1;"2025/12/13"
CSM;"15303910";1;2025;10;1;"2025/12/13"
CSM;"15311581";1;2025;10;1;"2025/12/13"
CSM;"15474217";5.4167;2025;10;1;"2025/12/13"
CSM;"15489099";.9167;2025;10;1;"2025/12/13"
CSM;"15521562";4.8333;2025;10;1;"2025/12/13"
CSM;"15525563";1;2025;10;1;"2025/12/13"
CSM;"15546410";.4167;2025;10;1;"2025/12/13"
