"ENTREPÔT";"CODE SAQ (CIP)";"QTÉ INVENTAIRE(caisse)";"ANNÉE";"PÉRIODE";"SEMAINE";"DATE DU JOUR"
CDM;"14064873";89.5833;2025;10;1;"2025/12/13"
CDM;"14545132";124.1667;2025;10;1;"2025/12/13"
CDM;"14561781";30.25;2025;10;1;"2025/12/13"
CDM;"14682882";269.1667;2025;10;1;"2025/12/13"
CDM;"14758699";238.75;2025;10;1;"2025/12/13"
CDM;"14954868";117.0833;2025;10;1;"2025/12/13"
CDM;"14954892";384.25;2025;10;1;"2025/12/13"
CDM;"14989770";51.5833;2025;10;1;"2025/12/13"
CDM;"14989788";76.6667;2025;10;1;"2025/12/13"
CDM;"14989809";137.4167;2025;10;1;"2025/12/13"
CDM;"14989825";70;2025;10;1;"2025/12/13"
CDM;"14989833";36.3333;2025;10;1;"2025/12/13"
CDM;"15095284";88.5;2025;10;1;"2025/12/13"
CDM;"15168156";684;2025;10;1;"2025/12/13"
CDM;"15298014";355.6667;2025;10;1;"2025/12/13"
CDM;"15303872";300.5;2025;10;1;"2025/12/13"
CDM;"15303910";114.1667;2025;10;1;"2025/12/13"
CDM;"15311581";258.0833;2025;10;1;"2025/12/13"
CDM;"15474217";386.75;2025;10;1;"2025/12/13"
CDM;"15489099";118;2025;10;1;"2025/12/13"
CDM;"15521562";38.9167;2025;10;1;"2025/12/13"
CDM;"15525563";2.3333;2025;10;1;"2025/12/13"
CDM;"15546410";159.4167;2025;10;1;"2025/12/13"
CDQ;"14064873";78.9167;2025;10;1;"2025/12/13"
CDQ;"14545132";66.3333;2025;10;1;"2025/12/13"
CDQ;"14561781";26.25;2025;10;1;"2025/12/13"
CDQ;"14682882";158.4167;2025;10;1;"2025/12/13"
CDQ;"14758699";226.0833;2025;10;1;"2025/12/13"
CDQ;"14954868";94.25;2025;10;1;"2025/12/13"
CDQ;"14954892";104.75;2025;10;1;"2025/12/13"
CDQ;"14989770";89;2025;10;1;"2025/12/13"
CDQ;"14989788";55.1667;2025;10;1;"2025/12/13"
CDQ;"14989809";130.5;2025;10;1;"2025/12/13"
CDQ;"14989825";5.5;2025;10;1;"2025/12/13"
CDQ;"14989833";74.0833;2025;10;1;"2025/12/13"
CDQ;"15095284";130;2025;10;1;"2025/12/13"
CDQ;"15168156";312;2025;10;1;"2025/12/13"
CDQ;"15298014";260;2025;10;1;"2025/12/13"
CDQ;"15303872";.5;2025;10;1;"2025/12/13"
CDQ;"15303910";57.5;2025;10;1;"2025/12/13"
CDQ;"15311581";178.3333;2025;10;1;"2025/12/13"
CDQ;"15384553";9;2025;10;1;"2025/12/13"
CDQ;"15474217";251.75;2025;10;1;"2025/12/13"
CDQ;"15489099";42.8333;2025;10;1;"2025/12/13"
CDQ;"15525563";1;2025;10;1;"2025/12/13"
CDQ;"15546410";40;2025;10;1;"2025/12/13"
