"SAQ CODE (IPC)/CODE SAQ (CIP)";"SUPPLIER NO/NO FOURNISSEUR";"OUTLET NO/NO SUCCURSALE";"CLIENT TYPE/TYPE CLIENT";"AD NO/NO DA";"YEAR/ANNÉE";"PERIOD/PÉRIODE";"WEEK/SEMAINE";"QTY OF BOTTLES/QTÉ BOUTEILLE";"AMOUNT/MONTANT"
"10254012";17972428;"23001";"02";0;2025;10;1;12;678
"10254012";17972428;"23002";"01";0;2025;10;1;2;112.61
"10254012";17972428;"23002";"02";0;2025;10;1;6;339
"10254012";17972428;"23003";"02";0;2025;10;1;1;56.5
"10254012";17972428;"23004";"02";0;2025;10;1;13;734.5
"10254012";17972428;"23006";"02";0;2025;10;1;2;113
"10254012";17972428;"23008";"02";0;2025;10;1;5;282.5
"10254012";17972428;"23009";"02";0;2025;10;1;4;226
"10254012";17972428;"23010";"02";0;2025;10;1;1;56.5
"10254012";17972428;"23011";"02";0;2025;10;1;5;282.5
"10254012";17972428;"23013";"02";0;2025;10;1;2;113
"10254012";17972428;"23016";"02";0;2025;10;1;2;113
"10254012";17972428;"23018";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23019";"02";0;2025;10;1;1;56.5
"10254012";17972428;"23021";"02";0;2025;10;1;6;339
"10254012";17972428;"23023";"02";0;2025;10;1;-1;-56.5
"10254012";17972428;"23025";"02";0;2025;10;1;6;339
"10254012";17972428;"23026";"02";0;2025;10;1;6;339
"10254012";17972428;"23028";"02";0;2025;10;1;7;395.5
"10254012";17972428;"23029";"02";0;2025;10;1;9;508.5
"10254012";17972428;"23030";"02";0;2025;10;1;5;282.5
"10254012";17972428;"23033";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23035";"02";0;2025;10;1;2;113
"10254012";17972428;"23036";"02";0;2025;10;1;1;56.5
"10254012";17972428;"23037";"01";0;2025;10;1;4;225.22
"10254012";17972428;"23037";"02";0;2025;10;1;9;508.5
"10254012";17972428;"23040";"02";0;2025;10;1;1;56.5
"10254012";17972428;"23041";"02";0;2025;10;1;2;113
"10254012";17972428;"23042";"02";0;2025;10;1;7;395.5
"10254012";17972428;"23044";"02";0;2025;10;1;8;452
"10254012";17972428;"23045";"01";0;2025;10;1;1;56.3
"10254012";17972428;"23048";"02";0;2025;10;1;5;282.5
"10254012";17972428;"23049";"02";0;2025;10;1;14;791
"10254012";17972428;"23050";"01";0;2025;10;1;9;506.71
"10254012";17972428;"23050";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23051";"02";0;2025;10;1;8;452
"10254012";17972428;"23052";"02";0;2025;10;1;10;565
"10254012";17972428;"23053";"02";0;2025;10;1;2;113
"10254012";17972428;"23054";"02";0;2025;10;1;4;226
"10254012";17972428;"23055";"02";0;2025;10;1;8;452
"10254012";17972428;"23056";"02";0;2025;10;1;5;282.5
"10254012";17972428;"23057";"01";0;2025;10;1;1;56.3
"10254012";17972428;"23057";"02";0;2025;10;1;5;282.5
"10254012";17972428;"23057";"99";0;2025;10;1;1;56.5
"10254012";17972428;"23058";"02";0;2025;10;1;1;56.5
"10254012";17972428;"23059";"02";0;2025;10;1;4;226
"10254012";17972428;"23060";"02";0;2025;10;1;8;452
"10254012";17972428;"23061";"02";0;2025;10;1;5;282.5
"10254012";17972428;"23062";"01";0;2025;10;1;1;56.3
"10254012";17972428;"23062";"02";0;2025;10;1;1;56.5
"10254012";17972428;"23063";"02";0;2025;10;1;1;56.5
"10254012";17972428;"23064";"02";0;2025;10;1;2;113
"10254012";17972428;"23065";"02";0;2025;10;1;17;960.5
"10254012";17972428;"23066";"02";0;2025;10;1;12;678
"10254012";17972428;"23067";"02";0;2025;10;1;5;282.5
"10254012";17972428;"23068";"02";0;2025;10;1;2;113
"10254012";17972428;"23069";"01";0;2025;10;1;2;112.61
"10254012";17972428;"23069";"02";0;2025;10;1;9;508.5
"10254012";17972428;"23070";"01";0;2025;10;1;14;788.25
"10254012";17972428;"23070";"02";0;2025;10;1;9;508.5
"10254012";17972428;"23070";"99";0;2025;10;1;1;56.5
"10254012";17972428;"23073";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23074";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23075";"02";0;2025;10;1;6;339
"10254012";17972428;"23076";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23079";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23080";"02";0;2025;10;1;2;113
"10254012";17972428;"23082";"01";0;2025;10;1;4;225.21
"10254012";17972428;"23082";"02";0;2025;10;1;7;395.5
"10254012";17972428;"23084";"02";0;2025;10;1;5;282.5
"10254012";17972428;"23085";"02";0;2025;10;1;4;226
"10254012";17972428;"23086";"02";0;2025;10;1;14;791
"10254012";17972428;"23087";"02";0;2025;10;1;5;282.5
"10254012";17972428;"23088";"02";0;2025;10;1;3;169.5
"10254012";17972428;"23090";"02";0;2025;10;1;4;226
"10254012";17972428;"23092";"02";0;2025;10;1;2;113
