"SAQ CODE (IPC)/CODE SAQ (CIP)";"UPC";"DESCRIPTION";"SALES UNIT/UNITÉ DE VENTE";"QTY OF BOTTLES/QTÉ BOUTEILLE";"YEAR/ANNÉE";"PERIOD/PÉRIODE";"WEEK/SEMAINE"
"14721909";00695554010508;"Cidrerie Milton Galia";"750";159;2025;10;1;
"15143784";08034097964053;"Ca'Di Rajo Lemoss Rosé";"750";291;2025;10;1;
"15185440";00628678560550;"Domaine Les Rassembleurs l'Orange";"750";377;2025;10;1;
"11607545";04860065010040;"Teliani Valley Winery 97 Saperavi";"750";226;2025;10;1;
"11811765";07070292624782;"Occhipinti SP68";"750";143;2025;10;1;
"15073368";00664732009429;"Récif Vieilli en Bord de Mer Distillerie des Marigots";"750";159;2025;10;1;
"15087866";03423714182744;"Autour de la Pomme Les Complices Nature";"750";3;2025;10;1;
"15370995";03180421039975;"Moillard Maranges";"750";107;2025;10;1;
"15372114";00065912000944;"Mott's Clamato Caesar Lime";"458";3702;2025;10;1;
"15385071";06289424937206;"Le P'tit Pirate Extra épicé Extra spiced";"700";1047;2025;10;1;
"10774923";00818276000194;"Umberto Cesari Liano Rubicone";"375";444;2025;10;1;
"11016016";03569840208016;"Clos des Fées Les Sorcières Côtes du Roussillon";"750";786;2025;10;1;
"13005759";06002039010474;"Robertson Winery Constitution Road Chardonnay";"750";1442;2025;10;1;
"13946727";03760159161010;"Domaine Billard Père et Fils Bourgogne Aligoté";"750";938;2025;10;1;
"14027061";08002579450011;"Terre del Barolo Vinum Vita Est Barolo";"750";983;2025;10;1;
"15229043";00818276003737;"Coffret Liano Cadeau";"1500";252;2025;10;1;
"15244905";00815337000377;"Domaine Pinnacle Harmonie Érable";"375";316;2025;10;1;
"13469246";08500000191026;"Ron Legendario Elixir de Cuba";"700";745;2025;10;1;
"13631119";09120012740488;"Domaine Meinklang Burgenland White";"750";428;2025;10;1;
"14092680";05600824210019;"Niepoort Nat'Cool Drink Me Bairrada";"1000";790;2025;10;1;
"5215";00048415163088;"Meaghers Triple Sec";"750";4847;2025;10;1;
"14070886";08034097961656;"Ca di Rajo Lemoss Trevenezie";"750";1250;2025;10;1;
"15317991";04262360520970;"Djuce Träumerei";"250";280;2025;10;1;
"15328236";00628190007021;"Ward Vodka";"750";2835;2025;10;1;
"3103";00774336031037;"St-Georges Sélectionné Blanc";"1000";959;2025;10;1;
"11452";03442680030057;"Willm Riesling Réserve";"750";4171;2025;10;1;
"196303";00048415360050;"Crème de menthe blanche Meaghers";"750";1649;2025;10;1;
"533026";08002062012825;"Modello Masi Trevenezie";"750";5596;2025;10;1;
"10472888";08411789060116;"Monte Ducay Carinena Gran Res. Bodegas San Valero";"750";915;2025;10;1;
"478891";08003015700363;"Carpineto Chianti Classico";"750";7459;2025;10;1;
"896282";03245456345344;"Château L'Escart Julien Bordeaux Supérieur";"750";404;2025;10;1;
"27763";03255537507066;"Saint James Royal Ambré";"750";610;2025;10;1;
"555219";08020465025129;"Moro Fattoria Montellori Toscana i.g.t.";"750";1075;2025;10;1;
"741058";08023352000032;"Pieropan Calvarino Soave Classico";"750";185;2025;10;1;
"11072851";00818276000842;"Umberto Cesari Moma Rubicone";"750";562;2025;10;1;
"11293970";03379935119314;"Château Mont-Redon Lirac";"750";819;2025;10;1;
"11372766";03186127750855;"Pive Gris Sable de Camargue";"750";4468;2025;10;1;
"11580987";08022041060524;"Pinot nero Maculan Breganze";"750";524;2025;10;1;
"11667231";08410023000390;"Beronia Rioja Reserva";"750";1527;2025;10;1;
"12204060";00827924017057;"Marathonien Vendange Tardive";"375";66;2025;10;1;
"12284741";03443660001722;"Bonfils Domaine Cibadiès Chardonnay Pays d'Oc";"750";5078;2025;10;1;
"14128566";00811538019569;"Proper No. Twelve";"750";615;2025;10;1;
"15082993";04000150829939;"Domaine Tupinier-Bautista Mercurey Vieilles Vignes";"750";25;2025;10;1;
"1099";00622153631049;"Johnnie Walker Red Label Blended Scotch Whisky";"750";2322;2025;10;1;
"95158";05450013150103;"Bernard-Massard Cuv. L'Écusson";"750";7312;2025;10;1;
"715086";08052462548851;"Tasca Regaleali Sicilia";"750";187;2025;10;1;
"10994782";00628242480253;"Dom. Lafrance Cidre Mousseux";"750";447;2025;10;1;
"13657491";03760189780700;"J. de Villebois Pouilly-Fumé";"750";459;2025;10;1;
"14703495";00088004036935;"Yukon Jack";"750";569;2025;10;1;
"10856873";08437005068230;"Bodegas Ateca Atteca Calatayud";"750";357;2025;10;1;
"12204086";00859670001288;"Coteau Rougemont Versant Rouge";"750";497;2025;10;1;
"15011132";00854745000937;"Coureur des Bois Érable Bleuet";"750";1606;2025;10;1;
"196204";00048415163071;"Meaghers Abricot Brandy";"750";1754;2025;10;1;
"13361374";03148592011978;"Les Petits Carreaux Merlot";"3000";499;2025;10;1;
"67";00776103000260;"Smirnoff No.21";"750";4636;2025;10;1;
"202499";03357780000414;"Cazal-Viel Vieilles Vignes Pays d'Oc";"750";1848;2025;10;1;
"11341855";08003015031054;"Carpineto Farnito Chardo. Brut";"750";3616;2025;10;1;
"13575815";08029439000155;"Ciù Ciù Oris Falerio";"750";2097;2025;10;1;
"12207914";08033765258418;"Vento di Mare Sicilia";"750";1432;2025;10;1;
"13628817";06009820750328;"De Morgenzon Maestro Blanc";"750";59;2025;10;1;
"14029111";07791203001675;"Bodegas Luigi Bosca La Linda Malbec Old Vines Mendoza";"750";714;2025;10;1;
"14191426";00088004034672;"Fireball Whisky à la Canelle";"50";31505;2025;10;1;
"14348112";03191741501196;"Château La Croix Saint-Georges Saint-Georges-Saint-Émilion";"750";272;2025;10;1;
"14404891";00776545995117;"Mission Hill Reserve Merlot Vallée de l'Okanagan";"750";8;2025;10;1;
"14426379";08033803760002;"Castellare Chianti Classico";"750";491;2025;10;1;
"15408594";06007380000129;"Springfield Estate Robertson Life from Stone";"750";124;2025;10;1;
"15466145";08008530098360;"Tavernello Spumante Extra Dry";"750";38;2025;10;1;
"15501414";03760011500896;"Pascal Doquet Arpège Brut Premier Cru Nature";"750";83;2025;10;1;
"15572132";00063657043882;"Saintly The Good Sauvignon Blanc";"750";481;2025;10;1;
"15442426";05601012837872;"Sogrape Vinhos Evaristo Lisboa";"750";366;2025;10;1;
"10272755";00829190101089;"Château des Estanilles Faugères Vallongue";"750";413;2025;10;1;
"10968218";03049614223389;"Veuve Clicquot";"750";619;2025;10;1;
"11096116";03760087640021;"Dom. d'Aupilhac Languedoc Lou Maset";"750";171;2025;10;1;
"15440113";06286784310311;"Fit Punch Hawaïen Distillerie des Appalaches";"700";65;2025;10;1;
"743252";05601085900299;"Poças Coroa d'Ouro";"750";2773;2025;10;1;
"10357329";08410113001139;"Torres Vina Esmeralda Catalunya";"750";3285;2025;10;1;
"15151240";03700599901623;"Planat V.S.";"700";3;2025;10;1;
"508879";03586610000441;"Carrelot des Amants Brulhois";"750";751;2025;10;1;
"713263";03438190004015;"Ch. Rouquette Sur Mer la Clape Cuvée Amarante";"750";477;2025;10;1;
"11903619";00690604000447;"Les Halos de Jupiter Côtes-du- Rhône";"750";1491;2025;10;1;
"11990492";09120110091307;"Loimer Lois Grüner Vetliner";"750";1463;2025;10;1;
"15203951";00628774171018;"Amour Liquide Margarita";"100";1352;2025;10;1;
"11314970";03391180019393;"M. Chapoutier Côtes du Roussillon Villages Bila-Haut";"750";1525;2025;10;1;
"11459087";03436806815017;"Jean-Marc Brocard Jurassique Bourgogne";"750";253;2025;10;1;
"11724979";00854745000722;"Coureur des Bois Whisky";"750";4371;2025;10;1;
"14397993";00057496009918;"Seventh Heaven Fraise Sauvage et Rhubarb Gin Fizz 4 x 355 ml";"355";15467;2025;10;1;
"14914225";00818276003485;"Umberto Cesari Liano Pinot Grigio";"750";2807;2025;10;1;
"15095284";00876511000286;"Opémiska Gin Boréal Fraises";"750";283;2025;10;1;
"11582958";00627098163358;"Iceberg";"1140";1535;2025;10;1;
"14990949";00080686823520;"Canadian Club Soda Gingembre";"473";5409;2025;10;1;
"704221";00990312368045;"L'Orpailleur Vignoble de l'Orpailleur Blanc";"750";1570;2025;10;1;
"10675589";00050037151404;"Disaronno Originale";"1140";5388;2025;10;1;
"14550361";00628504255780;"Noroi Émulsifiant";"100";75;2025;10;1;
"14882526";00695554018214;"Cidrerie Milton Orig. Canette (4 x 355 ml)";"355";1233;2025;10;1;
"10845357";00087113111397;"Albert Bichot Chardonnay Origines";"750";2552;2025;10;1;
"13657538";03570362111616;"Domaine Henry Natter Sancerre";"750";1257;2025;10;1;
"14441270";00082000792857;"Cîroc Mangue";"750";271;2025;10;1;
"15254943";08032532580370;"Tenuta La Novella Sambrena Bianco";"750";70;2025;10;1;
"166";05601012011500;"Mateus The Original";"750";3589;2025;10;1;
"7286";00774336072863;"St-Georges Sélectionné Rouge";"1000";3995;2025;10;1;
"596";00620213015600;"Bacardi Superior";"375";4309;2025;10;1;
"53140";08501110080446;"Havana Club 7 Ans";"750";2105;2025;10;1;
"11621110";05099873027301;"Diplomatico Reserva Exclusiva";"750";737;2025;10;1;
"15264826";03491330023406;"Prosper Maufoux Bourgogne Hautes-Côtes de Nuits";"750";70;2025;10;1;
"15350898";08595198861820;"R. Jelinek Poire Williams";"700";244;2025;10;1;
"586149";06002039005845;"Robertson Winery Shiraz";"750";1116;2025;10;1;
"11676604";08019873724540;"Fantini Soluna Terre di Chieti";"750";3186;2025;10;1;
"13900956";03514310000089;"Joël Delaunay La Voûte Chenonceaux";"750";1204;2025;10;1;
"14480578";00628176471020;"Rosemont Whisky de Montréal";"750";459;2025;10;1;
"15110245";00048162017214;"Trius Distinction Cabernet Sauvignon";"750";186;2025;10;1;
"15368035";03760011916765;"Clos Saint Jean Châteauneuf-du-Pape";"750";80;2025;10;1;
"11544302";00000570710071;"Martini Sec";"1000";4993;2025;10;1;
"342246";00083300048729;"Amarula";"750";3408;2025;10;1;
"12681131";08436017631609;"Fuenteseca Utiel-Requena";"750";5825;2025;10;1;
"15092403";03186128109539;"Devois des Agneaux D'Aumelas Cousu Main";"750";60;2025;10;1;
"265199";00835229000209;"Absolut";"375";4297;2025;10;1;
"14327039";00779334336351;"Cave Spring Riesling Dry Niagara Peninsula";"750";539;2025;10;1;
"15459893";08436546823018;"Casa Rojo Enemigo Mio";"750";729;2025;10;1;
"13991835";00057496009086;"Seventh Heaven Gin Tonic 4 x 355 ml";"355";20911;2025;10;1;
"10270881";08410869450014;"Marqués Riscal Rioja Reserva";"750";930;2025;10;1;
"15070415";03700188060540;"Château d'Arsac Margaux";"750";100;2025;10;1;
"15324366";08410388013363;"Murviedro Pasion Monastrell";"750";1038;2025;10;1;
"15693";03163937836009;"Ricard pastis de Marseille alcool anisé";"750";2538;2025;10;1;
"340679";03258431220000;"Laurent-Perrier La Cuvée Brut";"750";2244;2025;10;1;
"11298404";09004854000019;"Prugneto Sangiovese di Romagna Superiore";"750";3030;2025;10;1;
"12139456";00057496522400;"Sortilège Crème d'Érable";"750";1316;2025;10;1;
"4655";03394210004123;"St-Raphaël doré apéritif";"750";3761;2025;10;1;
