odoo_product_id,odoo_name,sku,code_saq
1112,Produit Fini - Crème de Vanille Coaticook - 750ml,628425160828,15521562
437,Produits finis - Cherry River - Dry Gin - 750ml,627987103663,14561781
499,Produits finis - Cherry River - Gin Framboise Lime - 750ml,876511000231,15311581
190,Produits finis - Cherry River - Gin Pamplemousse - 750ml,628011228406,14989833
436,Produits finis - Cherry River - Gin litchi et tangerine - 750ml,628011228321,14989770
191,Produits finis - Cherry River - Gin petits fruits et basilic - 750ml,627987103670,14682882
248,Produits finis - Cherry River - Liqueur Amaretto - 750ML,628011228338,14989788
488,Produits finis - Cherry River - Liqueur Orange - 750ml,628011228352,14989825
252,Produits finis - Cherry River - Liqueur de Café - 750ml,628011228345,14989809
507,Produits finis - Cherry River - Liqueur de vanille - 750ml,628011228369,14989796
236,Produits finis - Cherry River - Rhum Ambré - 750ml,876511000637,15303910
234,Produits finis - Cherry River - Rhum Épicé - 750ml,628011228994,14954868
502,Produits finis - Cherry River - Tequila Silver - 750ml,628011228987,14954892
433,Produits finis - Cherry River - Vodka AVERSE - 750ml,10627987103585,15489099
202,Produits finis - Cherry River - Vodka Érable - 750ml,627987103595,14064873
435,Produits finis - Opémiska - Gin Bleuets - 750ml,628011228529,14758699
469,Produits finis - Opémiska - Gin Boréal - 750ml,627987103656,14545132
492,Produits finis - Opémiska - Gin fraises - 750ml,876511000286,15095284
257,Produits finis - Opémiska - Liqueur de whisky à l'érable 30% - 750ml,876511000729,15303872
820,Produits finis - Cherry River - Canette 355ml - Limonade Petits Fruits 5%,876511000224,15474217
678,Produits finis - Cherry River - Canette 355ml - Orange sanguine framboise,876511000835,15298014
487,Produits finis - Cherry River - 6 Pack 355ml - Mixologie,628425160606,15168156
887,Produits finis - Cherry River - Boite coffret - 3X375ML GIN,876511000972,15384553
1110,Coffret réconfort - produit fini,628425160859,15525563
