TABLE_NAME,COLUMN_NAME,DATA_TYPE,IS_NULLABLE,COLUMN_DEFAULT
saq_inventaire,saq_inventaire_id,int,NO,
saq_inventaire,succursale,varchar,NO,
saq_inventaire,code_saq,varchar,NO,''
saq_inventaire,qty,int,NO,
saq_inventaire,annee,int,NO,
saq_inventaire,periode,int,NO,
saq_inventaire,semaine,int,NO,
saq_inventaire,date_du_jour,varchar,NO,
saq_inventaire_entrepot,saq_entrepot_id,int,NO,
saq_inventaire_entrepot,entrepot,varchar,NO,
saq_inventaire_entrepot,code_saq,int,NO,
saq_inventaire_entrepot,qty,float,NO,
saq_inventaire_entrepot,annee,int,NO,
saq_inventaire_entrepot,periode,int,NO,
saq_inventaire_entrepot,semaine,int,NO,
saq_inventaire_entrepot,date,date,NO,
saq_inventaire_entrepot_flat,saq_inventaire_entrepot_flat_id,int,NO,
saq_inventaire_entrepot_flat,entrepot,varchar,NO,
saq_inventaire_entrepot_flat,code_saq,int,NO,
saq_inventaire_entrepot_flat,annee,int,NO,
saq_inventaire_entrepot_flat,P11,float,NO,
saq_inventaire_entrepot_flat,P12,float,NO,
saq_inventaire_entrepot_flat,P13,float,NO,
saq_inventaire_entrepot_flat,P14,float,NO,
saq_inventaire_entrepot_flat,P21,float,NO,
saq_inventaire_entrepot_flat,P22,float,NO,
saq_inventaire_entrepot_flat,P23,float,NO,
saq_inventaire_entrepot_flat,P24,float,NO,
saq_inventaire_entrepot_flat,P31,float,NO,
saq_inventaire_entrepot_flat,P32,float,NO,
saq_inventaire_entrepot_flat,P33,float,NO,
saq_inventaire_entrepot_flat,P34,float,NO,
saq_inventaire_entrepot_flat,P41,float,NO,
saq_inventaire_entrepot_flat,P42,float,NO,
saq_inventaire_entrepot_flat,P43,float,NO,
saq_inventaire_entrepot_flat,P44,float,NO,
saq_inventaire_entrepot_flat,P51,float,NO,
saq_inventaire_entrepot_flat,P52,float,NO,
saq_inventaire_entrepot_flat,P53,float,NO,
saq_inventaire_entrepot_flat,P54,float,NO,
