lead_time_days,product_name
72.0,Cocktail rimmer 
72.0,Casquette cocktail club
72.0,Casquette Cherry River
72.0,Boite cadeau verres + bouteille
72.0,Becs verseur Cherry river
72.0,Moule cube glace 
72.0,Mesureur d'oz
72.0,Livre Apéro -Marc Dupré
72.0,Jigger long
72.0,Jigger arrondi - Cherry River
72.0,Hoodie Cherry River
72.0,Fruits séchés à cocktails
72.0,Cuillère à cocktail
72.0,Crewneck Cherry River
72.0,Crew Neck noir DryMartini
72.0,Coffre en bois (Coffret)
72.0,T-Shirt GinLimonade
72.0,T-Shirt Cherry River
72.0,Strainer
72.0,Sous-verre
72.0,Shaker noir 2pieces
72.0,Shaker bronze Cherry River
72.0,Sac blanc tissu
72.0,Rillettes 
72.0,Presse agrumes
72.0,Porte clés 
72.0,Polo brodé Cherry River
72.0,Poigné de bar
72.0,Pilon
72.0,Éplucheur 
72.0,shaker Stainless Cherry River
72.0,mesureur d'oz rond noir
72.0,Verres à cocktails (vitre)
72.0,Verre shooter
72.0,Verre martini 
72.0,Verre margarita
72.0,Verre en vitre logo 290ml
72.0,Verre en stainless noir logo
72.0,Verre Stainless noir Cherry River
72.0,Tapis de bar
72.0,Tammis 
,Assemblage Gin framboise lime
,Assemblage Gin Tonic Bleuets Sauvage 7%
,Assemblage Gin Tonic
,Assemblage Gin Floral
,Assemblage Gin Averse Éco.
,Assemblage Dry Gin sans Alcool
,Assemblage Dry Gin
,Assemblage Crême Coaticook
,Assemblage Cosmo
,Assemblage Cocktail Petits Fruits et Basilic
,Assemblage Bourbon à l'Érable
,Assemblage Bourbon (Blend)
,Assemblage Amaretto Sour 7%
72.0,Étampe à glace 
,Assemblage Liqueur de Café
,Assemblage Liqueur Orange
,Assemblage Liqueur Amaretto
,Assemblage Limonade Petits Fruits 5%
,Assemblage Gin litchi tangerine
,Assemblage Opémiska Whisky Érable
,Assemblage Opémiska Fraise
,Assemblage Opémiska Boréal 40%
,Assemblage Opémiska Bleuets 40%
,Assemblage Mojito
,Assemblage Margarita
,Assemblage Liqueur de Vanille
,Assemblage Vodka Framboise
,Assemblage Vodka Cerise
,Assemblage Vodka Caesar 33%
,Assemblage Téquila
,Assemblage Sangria 6.5%
